epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.708,1.11957,0.70185,0.95887,0.66511,0.4248,0.48333,0.28686,1.25704,0.78178,1.00185,0.000301716,0.000301716,0.000301716
2,371.334,1.14746,0.73518,0.9687,0.62511,0.40803,0.45689,0.27164,1.28515,0.81111,1.01322,0.000564805,0.000564805,0.000564805
3,556.213,1.16656,0.75317,0.97552,0.57753,0.42709,0.44977,0.26028,1.30219,0.82896,1.02679,0.000787898,0.000787898,0.000787898
4,740.766,1.16778,0.75443,0.97809,0.5975,0.42913,0.46766,0.27741,1.28071,0.8074,1.01632,0.000729018,0.000729018,0.000729018
5,924.581,1.1618,0.74221,0.97289,0.67949,0.41524,0.479,0.28268,1.28375,0.79816,1.01607,0.000669024,0.000669024,0.000669024
6,1110.84,1.15861,0.74194,0.97962,0.64714,0.40706,0.45694,0.26985,1.29236,0.81844,1.0188,0.00060903,0.00060903,0.00060903
